,,,,,,1,2,3,4,5,6
c-CNC_COM,,,,,,,,,,,
d-0,,,,,,,,,,,
p-ICMP,,,,,,,,,,,
x-OUT,,,,,,,,,,,
r-PRIVATE,,,,,,,,,,,
l-2,,,,,,,,,,,
p-TCP,,,,,,,,,,,
c-NaN,,,,,,,,,,,
d-51096,,,,,,,,,,,
d-51097,,,,,,,,,,,
d-51098,,,,,,,,,,,
d-51099,,,,,,,,,,,
d-51100,,,,,,,,,,,
d-51101,,,,,,,,,,,
d-51102,,,,,,,,,,,
d-51103,,,,,,,,,,,
d-51104,,,,,,,,,,,
d-51105,,,,,,,,,,,
d-51106,,,,,,,,,,,
d-51107,,,,,,,,,,,
d-51108,,,,,,,,,,,
d-51109,,,,,,,,,,,
d-51110,,,,,,,,,,,
d-51111,,,,,,,,,,,
d-51112,,,,,,,,,,,
d-51113,,,,,,,,,,,
d-51114,,,,,,,,,,,
d-51115,,,,,,,,,,,
d-51116,,,,,,,,,,,
d-51117,,,,,,,,,,,
d-51118,,,,,,,,,,,
d-51119,,,,,,,,,,,
d-51120,,,,,,,,,,,
d-51121,,,,,,,,,,,
d-51122,,,,,,,,,,,
d-51123,,,,,,,,,,,
d-51124,,,,,,,,,,,
d-51125,,,,,,,,,,,
d-51126,,,,,,,,,,,
d-51127,,,,,,,,,,,
d-51128,,,,,,,,,,,
d-51129,,,,,,,,,,,
d-51130,,,,,,,,,,,
d-51131,,,,,,,,,,,
d-51132,,,,,,,,,,,
d-51133,,,,,,,,,,,
d-51134,,,,,,,,,,,
d-51135,,,,,,,,,,,
d-51136,,,,,,,,,,,
d-51137,,,,,,,,,,,
d-51138,,,,,,,,,,,
d-51139,,,,,,,,,,,
d-51140,,,,,,,,,,,
d-51141,,,,,,,,,,,
d-51142,,,,,,,,,,,
d-51143,,,,,,,,,,,
d-51144,,,,,,,,,,,
d-51145,,,,,,,,,,,
d-51146,,,,,,,,,,,
d-51147,,,,,,,,,,,
d-51148,,,,,,,,,,,
d-51149,,,,,,,,,,,
d-51150,,,,,,,,,,,
d-51151,,,,,,,,,,,
d-51152,,,,,,,,,,,
d-51153,,,,,,,,,,,
d-51154,,,,,,,,,,,
p-HTTP,,,,,,,,,,,
d-51199,,,,,,,,,,,
d-51200,,,,,,,,,,,
d-51201,,,,,,,,,,,
d-51202,,,,,,,,,,,
d-51203,,,,,,,,,,,
d-51204,,,,,,,,,,,
d-51205,,,,,,,,,,,
d-51206,,,,,,,,,,,
d-51207,,,,,,,,,,,
d-51208,,,,,,,,,,,
d-51209,,,,,,,,,,,
d-51210,,,,,,,,,,,
d-51211,,,,,,,,,,,
d-51212,,,,,,,,,,,
d-51213,,,,,,,,,,,
d-51214,,,,,,,,,,,
d-51215,,,,,,,,,,,
d-51216,,,,,,,,,,,
d-51217,,,,,,,,,,,
d-51218,,,,,,,,,,,
d-51219,,,,,,,,,,,
d-51220,,,,,,,,,,,
d-51221,,,,,,,,,,,
d-51222,,,,,,,,,,,
d-51223,,,,,,,,,,,
d-51224,,,,,,,,,,,
d-51225,,,,,,,,,,,
d-51226,,,,,,,,,,,
d-51227,,,,,,,,,,,
d-51228,,,,,,,,,,,
d-51229,,,,,,,,,,,
d-51230,,,,,,,,,,,
d-51231,,,,,,,,,,,
d-51232,,,,,,,,,,,
d-51233,,,,,,,,,,,
d-51234,,,,,,,,,,,
d-51235,,,,,,,,,,,
d-51236,,,,,,,,,,,
d-51237,,,,,,,,,,,
d-51238,,,,,,,,,,,
d-51239,,,,,,,,,,,
d-51240,,,,,,,,,,,
d-51241,,,,,,,,,,,
d-51242,,,,,,,,,,,
d-51243,,,,,,,,,,,
d-51244,,,,,,,,,,,
d-51245,,,,,,,,,,,
d-51246,,,,,,,,,,,
d-51247,,,,,,,,,,,
d-51248,,,,,,,,,,,
d-51249,,,,,,,,,,,
d-51250,,,,,,,,,,,
d-51251,,,,,,,,,,,
d-51252,,,,,,,,,,,
d-51253,,,,,,,,,,,
d-51254,,,,,,,,,,,
d-51255,,,,,,,,,,,
d-51256,,,,,,,,,,,
d-51257,,,,,,,,,,,
d-51258,,,,,,,,,,,
d-51259,,,,,,,,,,,
d-51260,,,,,,,,,,,
d-51261,,,,,,,,,,,
d-51262,,,,,,,,,,,
d-51263,,,,,,,,,,,
d-51264,,,,,,,,,,,
d-51265,,,,,,,,,,,
d-51266,,,,,,,,,,,
d-51267,,,,,,,,,,,
d-51268,,,,,,,,,,,
d-51269,,,,,,,,,,,
d-51270,,,,,,,,,,,
d-51271,,,,,,,,,,,
d-51272,,,,,,,,,,,
d-51273,,,,,,,,,,,
d-51274,,,,,,,,,,,
d-51275,,,,,,,,,,,
d-51276,,,,,,,,,,,
d-51277,,,,,,,,,,,
d-51278,,,,,,,,,,,
d-51279,,,,,,,,,,,
d-51280,,,,,,,,,,,
d-51281,,,,,,,,,,,
d-51282,,,,,,,,,,,
d-51283,,,,,,,,,,,
d-51284,,,,,,,,,,,
d-51285,,,,,,,,,,,
d-51286,,,,,,,,,,,
d-51287,,,,,,,,,,,
d-51288,,,,,,,,,,,
d-51289,,,,,,,,,,,
d-51290,,,,,,,,,,,
d-51291,,,,,,,,,,,
d-51292,,,,,,,,,,,
d-51293,,,,,,,,,,,
d-51294,,,,,,,,,,,
d-51295,,,,,,,,,,,
d-51296,,,,,,,,,,,
d-51297,,,,,,,,,,,
d-51298,,,,,,,,,,,
d-51299,,,,,,,,,,,
d-51300,,,,,,,,,,,
d-51301,,,,,,,,,,,
d-51302,,,,,,,,,,,
d-51303,,,,,,,,,,,
d-51304,,,,,,,,,,,
d-51305,,,,,,,,,,,
d-51306,,,,,,,,,,,
d-51307,,,,,,,,,,,
d-51308,,,,,,,,,,,
d-51309,,,,,,,,,,,
d-51310,,,,,,,,,,,
d-51311,,,,,,,,,,,
d-51312,,,,,,,,,,,
d-51313,,,,,,,,,,,
d-51314,,,,,,,,,,,
d-51315,,,,,,,,,,,
d-51316,,,,,,,,,,,
d-51317,,,,,,,,,,,
d-51318,,,,,,,,,,,
d-51319,,,,,,,,,,,
d-51320,,,,,,,,,,,
d-51321,,,,,,,,,,,
d-51322,,,,,,,,,,,
d-51323,,,,,,,,,,,
d-51324,,,,,,,,,,,
d-51325,,,,,,,,,,,
d-51326,,,,,,,,,,,
d-51327,,,,,,,,,,,
d-51328,,,,,,,,,,,
d-51329,,,,,,,,,,,
d-51330,,,,,,,,,,,
d-51331,,,,,,,,,,,
d-51332,,,,,,,,,,,
d-51333,,,,,,,,,,,
d-51334,,,,,,,,,,,
d-51335,,,,,,,,,,,
d-51336,,,,,,,,,,,
d-51337,,,,,,,,,,,
d-51338,,,,,,,,,,,
d-51339,,,,,,,,,,,
d-51340,,,,,,,,,,,
d-51341,,,,,,,,,,,
d-51342,,,,,,,,,,,
d-51343,,,,,,,,,,,
d-51344,,,,,,,,,,,
d-51345,,,,,,,,,,,
d-51346,,,,,,,,,,,
d-51347,,,,,,,,,,,
d-51348,,,,,,,,,,,
d-51349,,,,,,,,,,,
d-51350,,,,,,,,,,,
d-51351,,,,,,,,,,,
d-51352,,,,,,,,,,,
d-51353,,,,,,,,,,,
d-51354,,,,,,,,,,,
d-51355,,,,,,,,,,,
d-51356,,,,,,,,,,,
d-51357,,,,,,,,,,,
d-51358,,,,,,,,,,,
d-51359,,,,,,,,,,,
d-51360,,,,,,,,,,,
d-51361,,,,,,,,,,,
d-51362,,,,,,,,,,,
d-51363,,,,,,,,,,,
d-51364,,,,,,,,,,,
d-51365,,,,,,,,,,,
d-51366,,,,,,,,,,,
d-51367,,,,,,,,,,,
d-51368,,,,,,,,,,,
d-51369,,,,,,,,,,,
d-51370,,,,,,,,,,,
d-51371,,,,,,,,,,,
d-51372,,,,,,,,,,,
d-51373,,,,,,,,,,,
d-51374,,,,,,,,,,,
d-51375,,,,,,,,,,,
d-51376,,,,,,,,,,,
d-51377,,,,,,,,,,,
d-51378,,,,,,,,,,,
d-51379,,,,,,,,,,,
d-51380,,,,,,,,,,,
d-51381,,,,,,,,,,,
d-51382,,,,,,,,,,,
d-51383,,,,,,,,,,,
d-51384,,,,,,,,,,,
d-51385,,,,,,,,,,,
d-51386,,,,,,,,,,,
d-51387,,,,,,,,,,,
d-51388,,,,,,,,,,,
d-51389,,,,,,,,,,,
d-51390,,,,,,,,,,,
d-51391,,,,,,,,,,,
d-51392,,,,,,,,,,,
d-51393,,,,,,,,,,,
d-51394,,,,,,,,,,,
d-51395,,,,,,,,,,,
d-51396,,,,,,,,,,,
d-51397,,,,,,,,,,,
d-51398,,,,,,,,,,,
c-CNC_COM,d-0,,,,,,,,,,
c-CNC_COM,l-2,,,,,,,,,,
c-CNC_COM,p-ICMP,,,,,,,,,,
c-CNC_COM,r-PRIVATE,,,,,,,,,,
c-CNC_COM,x-OUT,,,,,,,,,,
d-0,l-2,,,,,,,,,,
d-0,p-ICMP,,,,,,,,,,
d-0,r-PRIVATE,,,,,,,,,,
d-0,x-OUT,,,,,,,,,,
l-2,p-ICMP,,,,,,,,,,
l-2,r-PRIVATE,,,,,,,,,,
l-2,x-OUT,,,,,,,,,,
p-ICMP,r-PRIVATE,,,,,,,,,,
p-ICMP,x-OUT,,,,,,,,,,
r-PRIVATE,x-OUT,,,,,,,,,,
c-NaN,l-2,,,,,,,,,,
c-NaN,p-TCP,,,,,,,,,,
c-NaN,r-PRIVATE,,,,,,,,,,
c-NaN,x-OUT,,,,,,,,,,
l-2,p-TCP,,,,,,,,,,
p-TCP,r-PRIVATE,,,,,,,,,,
p-TCP,x-OUT,,,,,,,,,,
c-NaN,d-60476,,,,,,,,,,
d-60476,l-2,,,,,,,,,,
d-60476,p-TCP,,,,,,,,,,
d-60476,r-PRIVATE,,,,,,,,,,
d-60476,x-OUT,,,,,,,,,,
d-22,l-2,,,,,,,,,,
d-22,p-TCP,,,,,,,,,,
d-22,r-PRIVATE,,,,,,,,,,
d-22,x-OUT,,,,,,,,,,
d-80,l-2,,,,,,,,,,
d-80,p-TCP,,,,,,,,,,
d-80,r-PRIVATE,,,,,,,,,,
d-80,x-OUT,,,,,,,,,,
c-NaN,d-60477,,,,,,,,,,
d-60477,l-2,,,,,,,,,,
d-60477,p-TCP,,,,,,,,,,
d-60477,r-PRIVATE,,,,,,,,,,
d-60477,x-OUT,,,,,,,,,,
d-21,l-2,,,,,,,,,,
d-21,p-TCP,,,,,,,,,,
d-21,r-PRIVATE,,,,,,,,,,
d-21,x-OUT,,,,,,,,,,
c-NaN,d-60478,,,,,,,,,,
d-60478,l-2,,,,,,,,,,
d-60478,p-TCP,,,,,,,,,,
d-60478,r-PRIVATE,,,,,,,,,,
d-60478,x-OUT,,,,,,,,,,
c-SCAN,d-0,,,,,,,,,,
c-SCAN,l-2,,,,,,,,,,
c-SCAN,p-ICMP,,,,,,,,,,
c-SCAN,r-PRIVATE,,,,,,,,,,
c-SCAN,x-OUT,,,,,,,,,,
c-SCAN,p-TCP,,,,,,,,,,
c-SCAN,d-47042,,,,,,,,,,
d-47042,l-2,,,,,,,,,,
d-47042,p-TCP,,,,,,,,,,
d-47042,r-PRIVATE,,,,,,,,,,
d-47042,x-OUT,,,,,,,,,,
c-SCAN,d-22,,,,,,,,,,
c-LOGIN,l-2,,,,,,,,,,
c-LOGIN,p-SSH,,,,,,,,,,
c-LOGIN,r-PRIVATE,,,,,,,,,,
c-LOGIN,x-OUT,,,,,,,,,,
l-2,p-SSH,,,,,,,,,,
p-SSH,r-PRIVATE,,,,,,,,,,
p-SSH,x-OUT,,,,,,,,,,
d-57286,l-2,,,,,,,,,,
d-57286,r-PRIVATE,,,,,,,,,,
d-57286,x-OUT,,,,,,,,,,
d-57288,l-2,,,,,,,,,,
d-57288,r-PRIVATE,,,,,,,,,,
d-57288,x-OUT,,,,,,,,,,
d-57290,l-2,,,,,,,,,,
d-57290,r-PRIVATE,,,,,,,,,,
d-57290,x-OUT,,,,,,,,,,
d-57292,l-2,,,,,,,,,,
d-57292,r-PRIVATE,,,,,,,,,,
d-57292,x-OUT,,,,,,,,,,
d-57294,l-2,,,,,,,,,,
d-57294,r-PRIVATE,,,,,,,,,,
d-57294,x-OUT,,,,,,,,,,
c-LOGIN,d-22,,,,,,,,,,
d-22,p-SSH,,,,,,,,,,
c-LOGIN,p-SSHv2,,,,,,,,,,
l-2,p-SSHv2,,,,,,,,,,
p-SSHv2,r-PRIVATE,,,,,,,,,,
p-SSHv2,x-OUT,,,,,,,,,,
d-22,p-SSHv2,,,,,,,,,,
d-57296,l-2,,,,,,,,,,
d-57296,r-PRIVATE,,,,,,,,,,
d-57296,x-OUT,,,,,,,,,,
d-57298,l-2,,,,,,,,,,
d-57298,r-PRIVATE,,,,,,,,,,
d-57298,x-OUT,,,,,,,,,,
d-57300,l-2,,,,,,,,,,
d-57300,r-PRIVATE,,,,,,,,,,
d-57300,x-OUT,,,,,,,,,,
d-57302,l-2,,,,,,,,,,
d-57302,r-PRIVATE,,,,,,,,,,
d-57302,x-OUT,,,,,,,,,,
d-57304,l-2,,,,,,,,,,
d-57304,r-PRIVATE,,,,,,,,,,
d-57304,x-OUT,,,,,,,,,,
d-57308,l-2,,,,,,,,,,
d-57308,r-PRIVATE,,,,,,,,,,
d-57308,x-OUT,,,,,,,,,,
d-57310,l-2,,,,,,,,,,
d-57310,r-PRIVATE,,,,,,,,,,
d-57310,x-OUT,,,,,,,,,,
d-57312,l-2,,,,,,,,,,
d-57312,r-PRIVATE,,,,,,,,,,
