,,,,,,1,2,3,4,5,6
c-CNC_COM,,,,,,,,,,,
d-0,,,,,,,,,,,
p-ICMP,,,,,,,,,,,
x-OUT,,,,,,,,,,,
r-PRIVATE,,,,,,,,,,,
l-2,,,,,,,,,,,
p-TCP,,,,,,,,,,,
c-NaN,,,,,,,,,,,
d-56450,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-56452,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-56456,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-56458,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-56462,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-56466,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-56468,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-56470,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-56472,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-56480,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-56482,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-56484,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-56486,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-56488,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-56490,l-2,r-PRIVATE,x-OUT,,,,,,,,
c-DDOS,d-80,l-2,p-TCP,,,,,,,,
c-DDOS,d-80,l-2,r-PRIVATE,,,,,,,,
c-DDOS,d-80,l-2,x-OUT,,,,,,,,
c-DDOS,d-80,p-TCP,r-PRIVATE,,,,,,,,
c-DDOS,d-80,p-TCP,x-OUT,,,,,,,,
c-DDOS,d-80,r-PRIVATE,x-OUT,,,,,,,,
c-DDOS,l-2,p-TCP,r-PRIVATE,,,,,,,,
c-DDOS,l-2,p-TCP,x-OUT,,,,,,,,
c-DDOS,l-2,r-PRIVATE,x-OUT,,,,,,,,
c-DDOS,p-TCP,r-PRIVATE,x-OUT,,,,,,,,
c-DDOS,d-50955,l-2,p-TCP,,,,,,,,
c-DDOS,d-50955,l-2,r-PRIVATE,,,,,,,,
c-DDOS,d-50955,l-2,x-OUT,,,,,,,,
c-DDOS,d-50955,p-TCP,r-PRIVATE,,,,,,,,
c-DDOS,d-50955,p-TCP,x-OUT,,,,,,,,
c-DDOS,d-50955,r-PRIVATE,x-OUT,,,,,,,,
d-50955,l-2,p-TCP,r-PRIVATE,,,,,,,,
d-50955,l-2,p-TCP,x-OUT,,,,,,,,
d-50955,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-50955,p-TCP,r-PRIVATE,x-OUT,,,,,,,,
c-DDOS,d-50956,l-2,p-TCP,,,,,,,,
c-DDOS,d-50956,l-2,r-PRIVATE,,,,,,,,
c-DDOS,d-50956,l-2,x-OUT,,,,,,,,
c-DDOS,d-50956,p-TCP,r-PRIVATE,,,,,,,,
c-DDOS,d-50956,p-TCP,x-OUT,,,,,,,,
c-DDOS,d-50956,r-PRIVATE,x-OUT,,,,,,,,
d-50956,l-2,p-TCP,r-PRIVATE,,,,,,,,
d-50956,l-2,p-TCP,x-OUT,,,,,,,,
d-50956,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-50956,p-TCP,r-PRIVATE,x-OUT,,,,,,,,
c-DDOS,d-50957,l-2,p-TCP,,,,,,,,
c-DDOS,d-50957,l-2,r-PRIVATE,,,,,,,,
c-DDOS,d-50957,l-2,x-OUT,,,,,,,,
c-DDOS,d-50957,p-TCP,r-PRIVATE,,,,,,,,
c-DDOS,d-50957,p-TCP,x-OUT,,,,,,,,
c-DDOS,d-50957,r-PRIVATE,x-OUT,,,,,,,,
d-50957,l-2,p-TCP,r-PRIVATE,,,,,,,,
d-50957,l-2,p-TCP,x-OUT,,,,,,,,
d-50957,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-50957,p-TCP,r-PRIVATE,x-OUT,,,,,,,,
c-DDOS,d-50958,l-2,p-TCP,,,,,,,,
c-DDOS,d-50958,l-2,r-PRIVATE,,,,,,,,
c-DDOS,d-50958,l-2,x-OUT,,,,,,,,
c-DDOS,d-50958,p-TCP,r-PRIVATE,,,,,,,,
c-DDOS,d-50958,p-TCP,x-OUT,,,,,,,,
c-DDOS,d-50958,r-PRIVATE,x-OUT,,,,,,,,
d-50958,l-2,p-TCP,r-PRIVATE,,,,,,,,
d-50958,l-2,p-TCP,x-OUT,,,,,,,,
d-50958,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-50958,p-TCP,r-PRIVATE,x-OUT,,,,,,,,
c-DDOS,d-50959,l-2,p-TCP,,,,,,,,
c-DDOS,d-50959,l-2,r-PRIVATE,,,,,,,,
c-DDOS,d-50959,l-2,x-OUT,,,,,,,,
c-DDOS,d-50959,p-TCP,r-PRIVATE,,,,,,,,
c-DDOS,d-50959,p-TCP,x-OUT,,,,,,,,
c-DDOS,d-50959,r-PRIVATE,x-OUT,,,,,,,,
d-50959,l-2,p-TCP,r-PRIVATE,,,,,,,,
d-50959,l-2,p-TCP,x-OUT,,,,,,,,
d-50959,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-50959,p-TCP,r-PRIVATE,x-OUT,,,,,,,,
c-DDOS,d-50960,l-2,p-TCP,,,,,,,,
c-DDOS,d-50960,l-2,r-PRIVATE,,,,,,,,
c-DDOS,d-50960,l-2,x-OUT,,,,,,,,
c-DDOS,d-50960,p-TCP,r-PRIVATE,,,,,,,,
c-DDOS,d-50960,p-TCP,x-OUT,,,,,,,,
c-DDOS,d-50960,r-PRIVATE,x-OUT,,,,,,,,
d-50960,l-2,p-TCP,r-PRIVATE,,,,,,,,
d-50960,l-2,p-TCP,x-OUT,,,,,,,,
d-50960,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-50960,p-TCP,r-PRIVATE,x-OUT,,,,,,,,
c-DDOS,d-50961,l-2,p-TCP,,,,,,,,
c-DDOS,d-50961,l-2,r-PRIVATE,,,,,,,,
c-DDOS,d-50961,l-2,x-OUT,,,,,,,,
c-DDOS,d-50961,p-TCP,r-PRIVATE,,,,,,,,
c-DDOS,d-50961,p-TCP,x-OUT,,,,,,,,
c-DDOS,d-50961,r-PRIVATE,x-OUT,,,,,,,,
d-50961,l-2,p-TCP,r-PRIVATE,,,,,,,,
d-50961,l-2,p-TCP,x-OUT,,,,,,,,
d-50961,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-50961,p-TCP,r-PRIVATE,x-OUT,,,,,,,,
c-DDOS,d-50962,l-2,p-TCP,,,,,,,,
c-DDOS,d-50962,l-2,r-PRIVATE,,,,,,,,
c-DDOS,d-50962,l-2,x-OUT,,,,,,,,
c-DDOS,d-50962,p-TCP,r-PRIVATE,,,,,,,,
c-DDOS,d-50962,p-TCP,x-OUT,,,,,,,,
c-DDOS,d-50962,r-PRIVATE,x-OUT,,,,,,,,
d-50962,l-2,p-TCP,r-PRIVATE,,,,,,,,
d-50962,l-2,p-TCP,x-OUT,,,,,,,,
d-50962,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-50962,p-TCP,r-PRIVATE,x-OUT,,,,,,,,
c-DDOS,d-50963,l-2,p-TCP,,,,,,,,
c-DDOS,d-50963,l-2,r-PRIVATE,,,,,,,,
c-DDOS,d-50963,l-2,x-OUT,,,,,,,,
c-DDOS,d-50963,p-TCP,r-PRIVATE,,,,,,,,
c-DDOS,d-50963,p-TCP,x-OUT,,,,,,,,
c-DDOS,d-50963,r-PRIVATE,x-OUT,,,,,,,,
d-50963,l-2,p-TCP,r-PRIVATE,,,,,,,,
d-50963,l-2,p-TCP,x-OUT,,,,,,,,
d-50963,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-50963,p-TCP,r-PRIVATE,x-OUT,,,,,,,,
c-DDOS,d-50964,l-2,p-TCP,,,,,,,,
c-DDOS,d-50964,l-2,r-PRIVATE,,,,,,,,
c-DDOS,d-50964,l-2,x-OUT,,,,,,,,
c-DDOS,d-50964,p-TCP,r-PRIVATE,,,,,,,,
c-DDOS,d-50964,p-TCP,x-OUT,,,,,,,,
c-DDOS,d-50964,r-PRIVATE,x-OUT,,,,,,,,
d-50964,l-2,p-TCP,r-PRIVATE,,,,,,,,
d-50964,l-2,p-TCP,x-OUT,,,,,,,,
d-50964,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-50964,p-TCP,r-PRIVATE,x-OUT,,,,,,,,
c-DDOS,d-50965,l-2,p-TCP,,,,,,,,
c-DDOS,d-50965,l-2,r-PRIVATE,,,,,,,,
c-DDOS,d-50965,l-2,x-OUT,,,,,,,,
c-DDOS,d-50965,p-TCP,r-PRIVATE,,,,,,,,
c-DDOS,d-50965,p-TCP,x-OUT,,,,,,,,
c-DDOS,d-50965,r-PRIVATE,x-OUT,,,,,,,,
d-50965,l-2,p-TCP,r-PRIVATE,,,,,,,,
d-50965,l-2,p-TCP,x-OUT,,,,,,,,
d-50965,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-50965,p-TCP,r-PRIVATE,x-OUT,,,,,,,,
c-DDOS,d-50966,l-2,p-TCP,,,,,,,,
c-DDOS,d-50966,l-2,r-PRIVATE,,,,,,,,
c-DDOS,d-50966,l-2,x-OUT,,,,,,,,
c-DDOS,d-50966,p-TCP,r-PRIVATE,,,,,,,,
c-DDOS,d-50966,p-TCP,x-OUT,,,,,,,,
c-DDOS,d-50966,r-PRIVATE,x-OUT,,,,,,,,
d-50966,l-2,p-TCP,r-PRIVATE,,,,,,,,
d-50966,l-2,p-TCP,x-OUT,,,,,,,,
d-50966,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-50966,p-TCP,r-PRIVATE,x-OUT,,,,,,,,
c-DDOS,d-50967,l-2,p-TCP,,,,,,,,
c-DDOS,d-50967,l-2,r-PRIVATE,,,,,,,,
c-DDOS,d-50967,l-2,x-OUT,,,,,,,,
c-DDOS,d-50967,p-TCP,r-PRIVATE,,,,,,,,
c-DDOS,d-50967,p-TCP,x-OUT,,,,,,,,
c-DDOS,d-50967,r-PRIVATE,x-OUT,,,,,,,,
d-50967,l-2,p-TCP,r-PRIVATE,,,,,,,,
d-50967,l-2,p-TCP,x-OUT,,,,,,,,
d-50967,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-50967,p-TCP,r-PRIVATE,x-OUT,,,,,,,,
c-DDOS,d-50968,l-2,p-TCP,,,,,,,,
c-DDOS,d-50968,l-2,r-PRIVATE,,,,,,,,
c-DDOS,d-50968,l-2,x-OUT,,,,,,,,
c-DDOS,d-50968,p-TCP,r-PRIVATE,,,,,,,,
c-DDOS,d-50968,p-TCP,x-OUT,,,,,,,,
c-DDOS,d-50968,r-PRIVATE,x-OUT,,,,,,,,
d-50968,l-2,p-TCP,r-PRIVATE,,,,,,,,
d-50968,l-2,p-TCP,x-OUT,,,,,,,,
d-50968,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-50968,p-TCP,r-PRIVATE,x-OUT,,,,,,,,
c-DDOS,d-50969,l-2,p-TCP,,,,,,,,
c-DDOS,d-50969,l-2,r-PRIVATE,,,,,,,,
c-DDOS,d-50969,l-2,x-OUT,,,,,,,,
c-DDOS,d-50969,p-TCP,r-PRIVATE,,,,,,,,
c-DDOS,d-50969,p-TCP,x-OUT,,,,,,,,
c-DDOS,d-50969,r-PRIVATE,x-OUT,,,,,,,,
d-50969,l-2,p-TCP,r-PRIVATE,,,,,,,,
d-50969,l-2,p-TCP,x-OUT,,,,,,,,
d-50969,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-50969,p-TCP,r-PRIVATE,x-OUT,,,,,,,,
c-DDOS,d-50970,l-2,p-TCP,,,,,,,,
c-DDOS,d-50970,l-2,r-PRIVATE,,,,,,,,
c-DDOS,d-50970,l-2,x-OUT,,,,,,,,
c-DDOS,d-50970,p-TCP,r-PRIVATE,,,,,,,,
c-DDOS,d-50970,p-TCP,x-OUT,,,,,,,,
c-DDOS,d-50970,r-PRIVATE,x-OUT,,,,,,,,
d-50970,l-2,p-TCP,r-PRIVATE,,,,,,,,
d-50970,l-2,p-TCP,x-OUT,,,,,,,,
d-50970,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-50970,p-TCP,r-PRIVATE,x-OUT,,,,,,,,
c-DDOS,d-50971,l-2,p-TCP,,,,,,,,
c-DDOS,d-50971,l-2,r-PRIVATE,,,,,,,,
c-DDOS,d-50971,l-2,x-OUT,,,,,,,,
c-DDOS,d-50971,p-TCP,r-PRIVATE,,,,,,,,
c-DDOS,d-50971,p-TCP,x-OUT,,,,,,,,
c-DDOS,d-50971,r-PRIVATE,x-OUT,,,,,,,,
d-50971,l-2,p-TCP,r-PRIVATE,,,,,,,,
d-50971,l-2,p-TCP,x-OUT,,,,,,,,
d-50971,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-50971,p-TCP,r-PRIVATE,x-OUT,,,,,,,,
c-DDOS,d-50972,l-2,p-TCP,,,,,,,,
c-DDOS,d-50972,l-2,r-PRIVATE,,,,,,,,
c-DDOS,d-50972,l-2,x-OUT,,,,,,,,
c-DDOS,d-50972,p-TCP,r-PRIVATE,,,,,,,,
c-DDOS,d-50972,p-TCP,x-OUT,,,,,,,,
c-DDOS,d-50972,r-PRIVATE,x-OUT,,,,,,,,
d-50972,l-2,p-TCP,r-PRIVATE,,,,,,,,
d-50972,l-2,p-TCP,x-OUT,,,,,,,,
d-50972,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-50972,p-TCP,r-PRIVATE,x-OUT,,,,,,,,
c-DDOS,d-50973,l-2,p-TCP,,,,,,,,
c-DDOS,d-50973,l-2,r-PRIVATE,,,,,,,,
c-DDOS,d-50973,l-2,x-OUT,,,,,,,,
c-DDOS,d-50973,p-TCP,r-PRIVATE,,,,,,,,
c-DDOS,d-50973,p-TCP,x-OUT,,,,,,,,
c-DDOS,d-50973,r-PRIVATE,x-OUT,,,,,,,,
d-50973,l-2,p-TCP,r-PRIVATE,,,,,,,,
d-50973,l-2,p-TCP,x-OUT,,,,,,,,
d-50973,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-50973,p-TCP,r-PRIVATE,x-OUT,,,,,,,,
c-DDOS,d-50974,l-2,p-TCP,,,,,,,,
c-DDOS,d-50974,l-2,r-PRIVATE,,,,,,,,
c-DDOS,d-50974,l-2,x-OUT,,,,,,,,
c-DDOS,d-50974,p-TCP,r-PRIVATE,,,,,,,,
c-DDOS,d-50974,p-TCP,x-OUT,,,,,,,,
c-DDOS,d-50974,r-PRIVATE,x-OUT,,,,,,,,
d-50974,l-2,p-TCP,r-PRIVATE,,,,,,,,
d-50974,l-2,p-TCP,x-OUT,,,,,,,,
d-50974,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-50974,p-TCP,r-PRIVATE,x-OUT,,,,,,,,
c-DDOS,d-50975,l-2,p-TCP,,,,,,,,
c-DDOS,d-50975,l-2,r-PRIVATE,,,,,,,,
c-DDOS,d-50975,l-2,x-OUT,,,,,,,,
c-DDOS,d-50975,p-TCP,r-PRIVATE,,,,,,,,
c-DDOS,d-50975,p-TCP,x-OUT,,,,,,,,
c-DDOS,d-50975,r-PRIVATE,x-OUT,,,,,,,,
d-50975,l-2,p-TCP,r-PRIVATE,,,,,,,,
d-50975,l-2,p-TCP,x-OUT,,,,,,,,
d-50975,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-50975,p-TCP,r-PRIVATE,x-OUT,,,,,,,,
c-DDOS,d-50976,l-2,p-TCP,,,,,,,,
c-DDOS,d-50976,l-2,r-PRIVATE,,,,,,,,
c-DDOS,d-50976,l-2,x-OUT,,,,,,,,
c-DDOS,d-50976,p-TCP,r-PRIVATE,,,,,,,,
c-DDOS,d-50976,p-TCP,x-OUT,,,,,,,,
c-DDOS,d-50976,r-PRIVATE,x-OUT,,,,,,,,
d-50976,l-2,p-TCP,r-PRIVATE,,,,,,,,
d-50976,l-2,p-TCP,x-OUT,,,,,,,,
d-50976,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-50976,p-TCP,r-PRIVATE,x-OUT,,,,,,,,
c-DDOS,d-50977,l-2,p-TCP,,,,,,,,
c-DDOS,d-50977,l-2,r-PRIVATE,,,,,,,,
c-DDOS,d-50977,l-2,x-OUT,,,,,,,,
c-DDOS,d-50977,p-TCP,r-PRIVATE,,,,,,,,
c-DDOS,d-50977,p-TCP,x-OUT,,,,,,,,
c-DDOS,d-50977,r-PRIVATE,x-OUT,,,,,,,,
d-50977,l-2,p-TCP,r-PRIVATE,,,,,,,,
d-50977,l-2,p-TCP,x-OUT,,,,,,,,
d-50977,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-50977,p-TCP,r-PRIVATE,x-OUT,,,,,,,,
c-DDOS,d-50978,l-2,p-TCP,,,,,,,,
c-DDOS,d-50978,l-2,r-PRIVATE,,,,,,,,
c-DDOS,d-50978,l-2,x-OUT,,,,,,,,
c-DDOS,d-50978,p-TCP,r-PRIVATE,,,,,,,,
c-DDOS,d-50978,p-TCP,x-OUT,,,,,,,,
c-DDOS,d-50978,r-PRIVATE,x-OUT,,,,,,,,
d-50978,l-2,p-TCP,r-PRIVATE,,,,,,,,
d-50978,l-2,p-TCP,x-OUT,,,,,,,,
d-50978,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-50978,p-TCP,r-PRIVATE,x-OUT,,,,,,,,
c-DDOS,d-50979,l-2,p-TCP,,,,,,,,
c-DDOS,d-50979,l-2,r-PRIVATE,,,,,,,,
c-DDOS,d-50979,l-2,x-OUT,,,,,,,,
c-DDOS,d-50979,p-TCP,r-PRIVATE,,,,,,,,
c-DDOS,d-50979,p-TCP,x-OUT,,,,,,,,
c-DDOS,d-50979,r-PRIVATE,x-OUT,,,,,,,,
d-50979,l-2,p-TCP,r-PRIVATE,,,,,,,,
d-50979,l-2,p-TCP,x-OUT,,,,,,,,
d-50979,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-50979,p-TCP,r-PRIVATE,x-OUT,,,,,,,,
c-DDOS,d-50980,l-2,p-TCP,,,,,,,,
c-DDOS,d-50980,l-2,r-PRIVATE,,,,,,,,
c-DDOS,d-50980,l-2,x-OUT,,,,,,,,
c-DDOS,d-50980,p-TCP,r-PRIVATE,,,,,,,,
c-DDOS,d-50980,p-TCP,x-OUT,,,,,,,,
c-DDOS,d-50980,r-PRIVATE,x-OUT,,,,,,,,
d-50980,l-2,p-TCP,r-PRIVATE,,,,,,,,
d-50980,l-2,p-TCP,x-OUT,,,,,,,,
d-50980,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-50980,p-TCP,r-PRIVATE,x-OUT,,,,,,,,
c-DDOS,d-50981,l-2,p-TCP,,,,,,,,
c-DDOS,d-50981,l-2,r-PRIVATE,,,,,,,,
c-DDOS,d-50981,l-2,x-OUT,,,,,,,,
c-DDOS,d-50981,p-TCP,r-PRIVATE,,,,,,,,
c-DDOS,d-50981,p-TCP,x-OUT,,,,,,,,
c-DDOS,d-50981,r-PRIVATE,x-OUT,,,,,,,,
d-50981,l-2,p-TCP,r-PRIVATE,,,,,,,,
d-50981,l-2,p-TCP,x-OUT,,,,,,,,
d-50981,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-50981,p-TCP,r-PRIVATE,x-OUT,,,,,,,,
c-DDOS,d-50982,l-2,p-TCP,,,,,,,,
c-DDOS,d-50982,l-2,r-PRIVATE,,,,,,,,
c-DDOS,d-50982,l-2,x-OUT,,,,,,,,
c-DDOS,d-50982,p-TCP,r-PRIVATE,,,,,,,,
c-DDOS,d-50982,p-TCP,x-OUT,,,,,,,,
c-DDOS,d-50982,r-PRIVATE,x-OUT,,,,,,,,
d-50982,l-2,p-TCP,r-PRIVATE,,,,,,,,
d-50982,l-2,p-TCP,x-OUT,,,,,,,,
d-50982,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-50982,p-TCP,r-PRIVATE,x-OUT,,,,,,,,
c-DDOS,d-50983,l-2,p-TCP,,,,,,,,
c-DDOS,d-50983,l-2,r-PRIVATE,,,,,,,,
c-DDOS,d-50983,l-2,x-OUT,,,,,,,,
c-DDOS,d-50983,p-TCP,r-PRIVATE,,,,,,,,
c-DDOS,d-50983,p-TCP,x-OUT,,,,,,,,
c-DDOS,d-50983,r-PRIVATE,x-OUT,,,,,,,,
d-50983,l-2,p-TCP,r-PRIVATE,,,,,,,,
d-50983,l-2,p-TCP,x-OUT,,,,,,,,
d-50983,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-50983,p-TCP,r-PRIVATE,x-OUT,,,,,,,,
c-DDOS,d-50984,l-2,p-TCP,,,,,,,,
c-DDOS,d-50984,l-2,r-PRIVATE,,,,,,,,
c-DDOS,d-50984,l-2,x-OUT,,,,,,,,
c-DDOS,d-50984,p-TCP,r-PRIVATE,,,,,,,,
c-DDOS,d-50984,p-TCP,x-OUT,,,,,,,,
c-DDOS,d-50984,r-PRIVATE,x-OUT,,,,,,,,
d-50984,l-2,p-TCP,r-PRIVATE,,,,,,,,
d-50984,l-2,p-TCP,x-OUT,,,,,,,,
d-50984,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-50984,p-TCP,r-PRIVATE,x-OUT,,,,,,,,
c-DDOS,d-50985,l-2,p-TCP,,,,,,,,
c-DDOS,d-50985,l-2,r-PRIVATE,,,,,,,,
c-DDOS,d-50985,l-2,x-OUT,,,,,,,,
c-DDOS,d-50985,p-TCP,r-PRIVATE,,,,,,,,
c-DDOS,d-50985,p-TCP,x-OUT,,,,,,,,
c-DDOS,d-50985,r-PRIVATE,x-OUT,,,,,,,,
d-50985,l-2,p-TCP,r-PRIVATE,,,,,,,,
d-50985,l-2,p-TCP,x-OUT,,,,,,,,
d-50985,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-50985,p-TCP,r-PRIVATE,x-OUT,,,,,,,,
c-DDOS,d-50986,l-2,p-TCP,,,,,,,,
c-DDOS,d-50986,l-2,r-PRIVATE,,,,,,,,
c-DDOS,d-50986,l-2,x-OUT,,,,,,,,
c-DDOS,d-50986,p-TCP,r-PRIVATE,,,,,,,,
c-DDOS,d-50986,p-TCP,x-OUT,,,,,,,,
c-DDOS,d-50986,r-PRIVATE,x-OUT,,,,,,,,
d-50986,l-2,p-TCP,r-PRIVATE,,,,,,,,
d-50986,l-2,p-TCP,x-OUT,,,,,,,,
d-50986,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-50986,p-TCP,r-PRIVATE,x-OUT,,,,,,,,
c-DDOS,d-50987,l-2,p-TCP,,,,,,,,
c-DDOS,d-50987,l-2,r-PRIVATE,,,,,,,,
c-DDOS,d-50987,l-2,x-OUT,,,,,,,,
c-DDOS,d-50987,p-TCP,r-PRIVATE,,,,,,,,
c-DDOS,d-50987,p-TCP,x-OUT,,,,,,,,
c-DDOS,d-50987,r-PRIVATE,x-OUT,,,,,,,,
d-50987,l-2,p-TCP,r-PRIVATE,,,,,,,,
d-50987,l-2,p-TCP,x-OUT,,,,,,,,
d-50987,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-50987,p-TCP,r-PRIVATE,x-OUT,,,,,,,,
c-DDOS,d-50988,l-2,p-TCP,,,,,,,,
c-DDOS,d-50988,l-2,r-PRIVATE,,,,,,,,
c-DDOS,d-50988,l-2,x-OUT,,,,,,,,
c-DDOS,d-50988,p-TCP,r-PRIVATE,,,,,,,,
c-DDOS,d-50988,p-TCP,x-OUT,,,,,,,,
c-DDOS,d-50988,r-PRIVATE,x-OUT,,,,,,,,
d-50988,l-2,p-TCP,r-PRIVATE,,,,,,,,
d-50988,l-2,p-TCP,x-OUT,,,,,,,,
d-50988,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-50988,p-TCP,r-PRIVATE,x-OUT,,,,,,,,
c-DDOS,d-50989,l-2,p-TCP,,,,,,,,
c-DDOS,d-50989,l-2,r-PRIVATE,,,,,,,,
c-DDOS,d-50989,l-2,x-OUT,,,,,,,,
c-DDOS,d-50989,p-TCP,r-PRIVATE,,,,,,,,
c-DDOS,d-50989,p-TCP,x-OUT,,,,,,,,
c-DDOS,d-50989,r-PRIVATE,x-OUT,,,,,,,,
d-50989,l-2,p-TCP,r-PRIVATE,,,,,,,,
d-50989,l-2,p-TCP,x-OUT,,,,,,,,
d-50989,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-50989,p-TCP,r-PRIVATE,x-OUT,,,,,,,,
c-DDOS,d-50990,l-2,p-TCP,,,,,,,,
c-DDOS,d-50990,l-2,r-PRIVATE,,,,,,,,
c-DDOS,d-50990,l-2,x-OUT,,,,,,,,
c-DDOS,d-50990,p-TCP,r-PRIVATE,,,,,,,,
c-DDOS,d-50990,p-TCP,x-OUT,,,,,,,,
c-DDOS,d-50990,r-PRIVATE,x-OUT,,,,,,,,
d-50990,l-2,p-TCP,r-PRIVATE,,,,,,,,
d-50990,l-2,p-TCP,x-OUT,,,,,,,,
d-50990,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-50990,p-TCP,r-PRIVATE,x-OUT,,,,,,,,
c-DDOS,d-50991,l-2,p-TCP,,,,,,,,
c-DDOS,d-50991,l-2,r-PRIVATE,,,,,,,,
c-DDOS,d-50991,l-2,x-OUT,,,,,,,,
c-DDOS,d-50991,p-TCP,r-PRIVATE,,,,,,,,
c-DDOS,d-50991,p-TCP,x-OUT,,,,,,,,
c-DDOS,d-50991,r-PRIVATE,x-OUT,,,,,,,,
d-50991,l-2,p-TCP,r-PRIVATE,,,,,,,,
d-50991,l-2,p-TCP,x-OUT,,,,,,,,
d-50991,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-50991,p-TCP,r-PRIVATE,x-OUT,,,,,,,,
c-DDOS,d-50992,l-2,p-TCP,,,,,,,,
c-DDOS,d-50992,l-2,r-PRIVATE,,,,,,,,
c-DDOS,d-50992,l-2,x-OUT,,,,,,,,
c-DDOS,d-50992,p-TCP,r-PRIVATE,,,,,,,,
c-DDOS,d-50992,p-TCP,x-OUT,,,,,,,,
c-DDOS,d-50992,r-PRIVATE,x-OUT,,,,,,,,
d-50992,l-2,p-TCP,r-PRIVATE,,,,,,,,
d-50992,l-2,p-TCP,x-OUT,,,,,,,,
d-50992,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-50992,p-TCP,r-PRIVATE,x-OUT,,,,,,,,
c-DDOS,d-50993,l-2,p-TCP,,,,,,,,
c-DDOS,d-50993,l-2,r-PRIVATE,,,,,,,,
c-DDOS,d-50993,l-2,x-OUT,,,,,,,,
c-DDOS,d-50993,p-TCP,r-PRIVATE,,,,,,,,
c-DDOS,d-50993,p-TCP,x-OUT,,,,,,,,
c-DDOS,d-50993,r-PRIVATE,x-OUT,,,,,,,,
d-50993,l-2,p-TCP,r-PRIVATE,,,,,,,,
d-50993,l-2,p-TCP,x-OUT,,,,,,,,
d-50993,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-50993,p-TCP,r-PRIVATE,x-OUT,,,,,,,,
c-DDOS,d-50994,l-2,p-TCP,,,,,,,,
c-DDOS,d-50994,l-2,r-PRIVATE,,,,,,,,
c-DDOS,d-50994,l-2,x-OUT,,,,,,,,
c-DDOS,d-50994,p-TCP,r-PRIVATE,,,,,,,,
c-DDOS,d-50994,p-TCP,x-OUT,,,,,,,,
c-DDOS,d-50994,r-PRIVATE,x-OUT,,,,,,,,
d-50994,l-2,p-TCP,r-PRIVATE,,,,,,,,
d-50994,l-2,p-TCP,x-OUT,,,,,,,,
d-50994,l-2,r-PRIVATE,x-OUT,,,,,,,,
d-50994,p-TCP,r-PRIVATE,x-OUT,,,,,,,,
c-DDOS,d-50995,l-2,p-TCP,,,,,,,,
c-DDOS,d-50995,l-2,r-PRIVATE,,,,,,,,
c-DDOS,d-50995,l-2,x-OUT,,,,,,,,
c-DDOS,d-50995,p-TCP,r-PRIVATE,,,,,,,,
